top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,lebron_team_score,opponent_team_score,opponent,team,season,color
310,203,"Oct 18, 2022",1st Qtr,9:26,0,3,26,0,2,2,GSW,LAL,2023,red
213,259,"Oct 18, 2022",1st Qtr,8:38,0,2,16,0,4,5,GSW,LAL,2023,red
143,171,"Oct 18, 2022",1st Qtr,8:10,0,2,11,0,4,7,GSW,LAL,2023,red
68,215,"Oct 18, 2022",1st Qtr,5:24,1,2,3,0,12,19,GSW,LAL,2023,green
66,470,"Oct 18, 2022",1st Qtr,1:02,0,3,23,0,22,23,GSW,LAL,2023,red
63,239,"Oct 18, 2022",2nd Qtr,11:30,1,2,1,0,24,25,GSW,LAL,2023,green
230,54,"Oct 18, 2022",2nd Qtr,10:30,0,3,26,0,24,27,GSW,LAL,2023,red
53,224,"Oct 18, 2022",2nd Qtr,10:05,1,2,2,0,26,27,GSW,LAL,2023,green
241,67,"Oct 18, 2022",2nd Qtr,9:30,0,3,26,0,26,29,GSW,LAL,2023,red
273,113,"Oct 18, 2022",2nd Qtr,8:55,0,3,25,0,26,32,GSW,LAL,2023,red
62,224,"Oct 18, 2022",2nd Qtr,7:06,0,2,2,0,31,39,GSW,LAL,2023,red
63,249,"Oct 18, 2022",2nd Qtr,3:53,1,2,1,0,39,49,GSW,LAL,2023,green
103,236,"Oct 18, 2022",2nd Qtr,2:34,0,2,5,0,39,51,GSW,LAL,2023,red
54,249,"Oct 18, 2022",2nd Qtr,1:48,1,2,1,0,44,53,GSW,LAL,2023,green
53,240,"Oct 18, 2022",2nd Qtr,0:58,0,2,0,0,46,55,GSW,LAL,2023,red
230,71,"Oct 18, 2022",3rd Qtr,10:49,1,3,25,0,58,63,GSW,LAL,2023,green
231,358,"Oct 18, 2022",3rd Qtr,9:00,0,2,21,0,60,70,GSW,LAL,2023,red
61,240,"Oct 18, 2022",3rd Qtr,8:44,1,2,1,0,62,70,GSW,LAL,2023,green
59,235,"Oct 18, 2022",3rd Qtr,1:11,1,2,1,0,68,91,GSW,LAL,2023,green
299,188,"Oct 18, 2022",3rd Qtr,0:06,1,3,25,0,71,91,GSW,LAL,2023,green
251,397,"Oct 18, 2022",4th Qtr,11:44,0,3,25,0,71,91,GSW,LAL,2023,red
63,241,"Oct 18, 2022",4th Qtr,10:27,1,2,1,0,75,93,GSW,LAL,2023,green
290,152,"Oct 18, 2022",4th Qtr,9:49,0,3,25,0,75,93,GSW,LAL,2023,red
53,240,"Oct 18, 2022",4th Qtr,9:04,1,2,0,0,77,93,GSW,LAL,2023,green
70,476,"Oct 18, 2022",4th Qtr,3:46,1,3,24,0,96,109,GSW,LAL,2023,green
